longitud,latitud,nombre
-6.381607,39.467443,9
-6.365581,39.474674,1
-6.365264,39.47446,1
-6.365019,39.474447,11
-6.365173,39.474431,12
-6.365104,39.474408,14
-6.365045,39.47439,14A
-6.364971,39.474369,16
-6.364864,39.474334,18
-6.365613,39.474609,2
-6.364838,39.474324,2
-6.364758,39.474295,22
-6.364728,39.474283,24
-6.364652,39.474254,26
-6.364624,39.474245,28
-6.365457,39.474585,3
-6.364564,39.474221,3
-6.365554,39.474561,4
-6.365269,39.474527,5
-6.365495,39.474526,6
-6.365239,39.474517,7
-6.365192,39.474501,7A
-6.365332,39.474481,8
-6.36514,39.474486,9
-6.387007,39.446476,1
-6.387042,39.446504,2
-6.387083,39.446417,3
-6.387109,39.44645,4
-6.375246,39.458013,1
-6.375296,39.458007,3
-6.375356,39.457999,5
-6.375408,39.457991,7
-6.375455,39.457986,9
-6.379024,39.463329,1
-6.375665,39.463318,1
-6.377894,39.463105,2
-6.378964,39.46305,2A
-6.378764,39.463306,3
-6.377389,39.463145,4
-6.376583,39.463215,6
-6.376117,39.463293,8
-6.369757,39.476818,1
-6.369716,39.477026,2
-6.369932,39.476949,3
-6.369536,39.478352,1
-6.369765,39.478581,11
-6.369858,39.478672,13
-6.369915,39.478729,15
-6.369954,39.478763,17
-6.369984,39.478796,19
-6.369616,39.478731,2
-6.370015,39.478827,21
-6.36963,39.478451,3
-6.369645,39.478466,5
-6.369698,39.478517,7
-6.369719,39.478539,9
-6.379027,39.476586,1
-6.378988,39.476118,11
-6.378983,39.476053,13
-6.378976,39.475968,15
-6.378968,39.475875,17
-6.378962,39.475784,19
-6.37903,39.476652,1B
-6.379105,39.476454,2
-6.378956,39.475707,21
-6.379014,39.476467,3
-6.379004,39.476324,7
-6.378997,39.476231,9
-6.367977,39.476397,1
-6.367966,39.476381,2
-6.367913,39.476299,2A
-6.367712,39.476325,3
-6.367771,39.476259,4
-6.367555,39.476311,5
-6.379345,39.479945,1
-6.379458,39.480305,1
-6.379566,39.480362,11
-6.379499,39.480386,12
-6.379642,39.480517,13
-6.379578,39.480539,14
-6.379691,39.480599,15
-6.379626,39.480618,16
-6.379736,39.480677,17
-6.37967,39.480698,18
-6.379781,39.48076,19
-6.379262,39.479951,2
-6.379708,39.480761,2
-6.379829,39.480844,21
-6.379767,39.480862,22
-6.379875,39.480924,23
-6.379386,39.48002,3
-6.379302,39.480024,4
-6.379315,39.480045,4A
-6.379427,39.480107,5
-6.379354,39.48011,6
-6.379365,39.480135,6A
-6.379475,39.480194,7
-6.379405,39.480205,8
-6.379516,39.480273,9
-6.363805,39.483283,1
-6.363743,39.483337,12
-6.363693,39.483385,14
-6.364021,39.48308,2
-6.363967,39.483132,4
-6.363908,39.483186,6
-6.363853,39.483236,8
-6.375279,39.477827,1
-6.375505,39.478125,1
-6.375527,39.478145,10A
-6.375649,39.478184,11
-6.375592,39.47821,12
-6.375853,39.478257,13
-6.375667,39.478283,14
-6.375956,39.478484,15
-6.375744,39.478356,16
-6.376032,39.478555,17
-6.375772,39.478383,18
-6.375792,39.478402,18A
-6.375204,39.477832,2
-6.375839,39.478449,2
-6.376058,39.478582,21
-6.375877,39.478487,22
-6.376114,39.478636,23
-6.375913,39.478521,24
-6.376233,39.478749,25
-6.375989,39.478594,26
-6.37602,39.478627,28
-6.375329,39.477874,3
-6.3761,39.478702,3
-6.376171,39.478769,32
-6.37623,39.478826,34
-6.376314,39.478903,36
-6.376379,39.47897,38
-6.375278,39.477904,4
-6.376426,39.479017,4
-6.376481,39.479066,42
-6.37541,39.477953,5
-6.375367,39.477988,6
-6.375491,39.47803,7
-6.375399,39.478021,8
-6.375571,39.478107,9
-6.366215,39.483315,1
-6.366049,39.483461,3
-6.365846,39.483645,5
-6.367232,39.477482,1
-6.367037,39.477674,1
-6.36703,39.478281,11
-6.367023,39.477734,12
-6.366967,39.478373,13
-6.367002,39.477901,14
-6.367096,39.477317,2
-6.367183,39.477838,3
-6.367087,39.477401,4
-6.367157,39.477989,5
-6.36707,39.477488,6
-6.367148,39.478038,7
-6.367043,39.477637,8
-6.367086,39.478202,9
-6.373188,39.460709,1
-6.373322,39.460112,1
-6.373158,39.460334,11
-6.37333,39.460052,12
-6.373153,39.46026,13
-6.373339,39.459979,14
-6.373176,39.460039,15
-6.373351,39.459919,16
-6.373187,39.459988,17
-6.373363,39.459833,18
-6.373197,39.459911,19
-6.373285,39.460365,2
-6.373371,39.459777,2
-6.373208,39.459849,21
-6.373383,39.459703,22
-6.373225,39.459732,23
-6.373393,39.45963,24
-6.373235,39.45968,25
-6.373402,39.459569,26
-6.37324,39.45962,27
-6.373413,39.459503,28
-6.373255,39.459559,29
-6.373182,39.460662,3
-6.373442,39.45929,3
-6.373382,39.459289,31
-6.373455,39.459224,32
-6.373389,39.459233,33
-6.373465,39.459152,34
-6.373402,39.459148,35
-6.373474,39.45909,36
-6.37341,39.459107,37
-6.373487,39.459025,38
-6.373419,39.459046,39
-6.373293,39.460309,4
-6.3735,39.458946,4
-6.373428,39.458974,41
-6.373507,39.45889,42
-6.373437,39.458912,43
-6.373521,39.458809,44
-6.373447,39.458853,45
-6.373533,39.458735,46
-6.373455,39.458793,47
-6.373539,39.458676,48
-6.373468,39.45871,49
-6.373178,39.460614,5
-6.373474,39.45867,51
-6.3733,39.46025,6
-6.373176,39.460558,7
-6.373311,39.460172,8
-6.373162,39.460387,9
-6.37869,39.480051,1
-6.379115,39.480488,11
-6.379239,39.480666,13
-6.379277,39.480738,15
-6.379296,39.480769,15A
-6.379321,39.480821,17
-6.379365,39.480901,19
-6.379414,39.480996,21
-6.379458,39.481079,23
-6.378824,39.480156,3
-6.378874,39.480198,5
-6.378926,39.480243,5A
-6.378999,39.480333,7
-6.379053,39.480405,9
-6.380509,39.472386,2
-6.380344,39.472555,4
-6.38029,39.472672,6
-6.380431,39.472735,8
-6.365502,39.475678,1
-6.365047,39.475223,1
-6.364969,39.475172,12
-6.364806,39.475066,14
-6.364749,39.47503,16
-6.364643,39.474959,18
-6.365377,39.475433,2
-6.364577,39.474919,2
-6.365333,39.475564,3
-6.365309,39.475389,4
-6.364954,39.475322,5
-6.365238,39.475344,6
-6.36518,39.475305,8
-6.374291,39.474475,1
-6.37443,39.474553,2
-6.37445,39.474511,2A
-6.37444,39.474458,3
-6.37451,39.474441,4
-6.374477,39.474418,5
-6.374531,39.474419,6
-6.374507,39.474388,7
-6.374602,39.474342,8
-6.374545,39.474349,9
-6.374565,39.474329,9A
-6.369406,39.4804,1
-6.368816,39.480828,1
-6.369078,39.480696,11
-6.368786,39.480853,12
-6.36867,39.481068,13
-6.368565,39.481052,14
-6.368638,39.481096,15
-6.368537,39.481077,16
-6.368505,39.481215,17
-6.36832,39.481271,18
-6.368485,39.481233,19
-6.369302,39.480384,2
-6.368292,39.481298,2
-6.368357,39.48135,21
-6.368329,39.481373,23
-6.369383,39.480419,3
-6.369278,39.480405,4
-6.36925,39.480535,5
-6.369054,39.480608,6
-6.369232,39.480555,7
-6.369031,39.480633,8
-6.369102,39.480676,9
-6.368989,39.475646,1
-6.368698,39.475195,1
-6.368798,39.475381,11
-6.36868,39.475173,12
-6.368664,39.475153,12A
-6.368763,39.475335,13
-6.368635,39.475117,14
-6.368727,39.475287,15
-6.368506,39.474913,16
-6.36849,39.474888,16A
-6.368639,39.475174,17
-6.368613,39.475141,17A
-6.368455,39.474821,18
-6.368555,39.475061,19
-6.368946,39.475555,2
-6.368461,39.474733,2
-6.368502,39.474964,21
-6.368486,39.474933,21A
-6.368459,39.47472,22
-6.36843,39.474707,22A
-6.368465,39.474896,23
-6.368453,39.474871,23A
-6.368395,39.47468,24
-6.368431,39.474819,25
-6.368342,39.474572,26
-6.368406,39.474765,27
-6.368349,39.474493,28
-6.368371,39.474696,29
-6.368967,39.475614,3
-6.368374,39.474446,3
-6.368358,39.474666,31
-6.368426,39.474377,32
-6.368341,39.474627,33
-6.368496,39.474268,34
-6.36833,39.474601,35
-6.368533,39.47422,36
-6.368318,39.474576,37
-6.368308,39.474549,37A
-6.368578,39.474159,38
-6.36837,39.474366,39
-6.368956,39.475599,3A
-6.368892,39.475466,4
-6.368633,39.474085,4
-6.368414,39.474323,41
-6.368717,39.474064,42
-6.368516,39.474207,43
-6.368737,39.474017,44
-6.368693,39.473949,44A
-6.368717,39.473884,44B
-6.368636,39.473972,45
-6.368686,39.473876,45A
-6.368733,39.47385,46
-6.368706,39.473827,47
-6.368718,39.473793,47A
-6.368754,39.4738,48
-6.368752,39.473717,49
-6.368928,39.475563,5
-6.368772,39.473757,5
-6.368763,39.473688,51
-6.368785,39.473648,51A
-6.368789,39.47372,52
-6.3688,39.473602,53A
-6.368813,39.47357,53B
-6.368822,39.47364,54
-6.368827,39.473541,55
-6.36884,39.473509,55A
-6.368851,39.473485,55B
-6.368854,39.473567,56
-6.368842,39.473595,56A
-6.368861,39.473429,57
-6.368871,39.473378,57A
-6.36887,39.473537,58
-6.368863,39.475422,6
-6.368884,39.473501,6
-6.3689,39.473453,62
-6.368914,39.473395,64
-6.368819,39.475358,6A
-6.368785,39.475313,6B
-6.368891,39.475512,7
-6.368715,39.475225,8
-6.368858,39.475461,9
-6.392509,39.452414,1
-6.392867,39.452497,1
-6.392961,39.452473,11
-6.392952,39.452509,12
-6.393048,39.452485,13
-6.393042,39.452522,14
-6.393227,39.45251,15
-6.393221,39.452544,16
-6.393312,39.452521,17
-6.393306,39.452555,18
-6.393406,39.452533,19
-6.392514,39.452449,2
-6.393392,39.452569,2
-6.39349,39.452545,21
-6.393472,39.45258,22
-6.393574,39.452555,23
-6.393569,39.452591,24
-6.393663,39.452566,25
-6.393652,39.452602,26
-6.39375,39.452579,27
-6.393739,39.452614,28
-6.393834,39.45259,29
-6.3926,39.452426,3
-6.393827,39.452624,3
-6.393909,39.452601,31
-6.393909,39.452634,32
-6.392602,39.452462,4
-6.392692,39.452441,5
-6.392676,39.452472,6
-6.392782,39.452451,7
-6.392776,39.452486,8
-6.392872,39.452464,9
-6.370262,39.471337,2
-6.370237,39.47139,4
-6.370171,39.471511,6
-6.3702,39.471461,6A
-6.370147,39.471553,8
-6.377175,39.476634,1
-6.377647,39.477016,1
-6.377705,39.476971,11
-6.377714,39.477061,12
-6.377803,39.477034,13
-6.377763,39.477007,13A
-6.377856,39.477068,15
-6.377966,39.477139,17
-6.377216,39.476738,2
-6.37727,39.476691,3
-6.377308,39.476797,4
-6.377354,39.476747,5
-6.377455,39.476895,6
-6.377497,39.476836,7
-6.377521,39.476936,8
-6.377599,39.476904,9
-6.373855,39.47932,1
-6.371189,39.479124,1
-6.373119,39.47966,11
-6.370919,39.479056,12
-6.373003,39.479705,13
-6.370328,39.479333,14
-6.37024,39.479347,14A
-6.373018,39.479942,15
-6.370167,39.479356,16
-6.371982,39.479613,17
-6.370078,39.479371,18
-6.371912,39.47959,19
-6.372405,39.479649,2
-6.37,39.479383,2
-6.371852,39.479573,21
-6.371544,39.479476,23
-6.371516,39.479465,25
-6.371491,39.479457,27
-6.371043,39.479391,29
-6.37374,39.479428,3
-6.371004,39.479388,31
-6.370981,39.479384,33
-6.370592,39.479381,35
-6.370563,39.479385,37
-6.370518,39.479392,39
-6.372351,39.479636,4
-6.370068,39.479461,41
-6.37357,39.479492,5
-6.371879,39.479483,6
-6.373385,39.479563,7
-6.371818,39.479463,8
-6.373184,39.479637,9
-6.377539,39.475783,1
-6.377502,39.47581,2
-6.37793,39.475951,3
-6.377882,39.475996,4
-6.375718,39.471993,2
-6.375777,39.472053,4
-6.375993,39.473353,1
-6.375528,39.473297,2
-6.376049,39.473369,3
-6.375855,39.473398,4
-6.376114,39.473387,5
-6.376212,39.473413,7
-6.375376,39.457327,1
-6.375328,39.45712,11
-6.375465,39.457267,2
-6.375369,39.457289,3
-6.375453,39.457225,4
-6.375361,39.457252,5
-6.375444,39.457181,6
-6.375348,39.457206,7
-6.375438,39.457142,8
-6.375339,39.457167,9
-6.373755,39.474849,1
-6.373834,39.474991,1
-6.374021,39.474913,11
-6.373915,39.475033,12
-6.374119,39.474949,13
-6.374089,39.475074,14
-6.374168,39.475008,16
-6.373765,39.474871,3
-6.373732,39.474916,4
-6.373887,39.474904,5
-6.373759,39.474937,6
-6.373884,39.474919,7
-6.373809,39.474953,8
-6.373996,39.474906,9
-6.376394,39.45757,1
-6.376713,39.457524,11
-6.376764,39.457516,13
-6.376818,39.457508,15
-6.37687,39.457501,17
-6.376933,39.457494,19
-6.376445,39.457561,3
-6.376491,39.457554,5
-6.376555,39.457547,7
-6.3766,39.457541,9
-6.377411,39.469976,1
-6.377546,39.46987,2
-6.37734,39.469778,2A
-6.376854,39.469831,3
-6.377211,39.469719,4
-6.376648,39.469793,5
-6.376593,39.469443,6
-6.376519,39.469653,7
-6.376259,39.469462,9
-6.378045,39.462694,1
-6.378615,39.462779,2
-6.377697,39.46216,3
-6.378372,39.462505,4
-6.377577,39.461971,5
-6.377975,39.462001,6
-6.377497,39.46185,7
-6.377997,39.461776,8
-6.374179,39.461685,2
-6.374387,39.461652,4
-6.37462,39.461617,6
-6.375041,39.47559,1
-6.375105,39.47514,1
-6.375043,39.475111,11
-6.375106,39.475052,12
-6.375081,39.474859,13
-6.375246,39.474612,14
-6.375111,39.474735,15
-6.37513,39.474657,17
-6.375267,39.474337,19
-6.375097,39.475447,2
-6.375661,39.474015,21
-6.375097,39.475412,2A
-6.375044,39.475529,3
-6.375096,39.475373,4
-6.375041,39.475278,5
-6.375098,39.475298,6
-6.375101,39.475256,6A
-6.375042,39.475187,7
-6.375103,39.4752,8
-6.375102,39.475175,8A
-6.375042,39.475139,9
-6.375451,39.456744,1
-6.375733,39.456715,11
-6.375787,39.456706,13
-6.375835,39.4567,15
-6.375887,39.456682,17
-6.375939,39.456674,19
-6.375995,39.456664,21
-6.376109,39.456649,23
-6.376171,39.456639,25
-6.376223,39.456634,27
-6.376287,39.456642,29
-6.375502,39.456736,3
-6.376345,39.456636,31
-6.376391,39.45663,33
-6.375553,39.456727,5
-6.375605,39.456724,7
-6.375663,39.456726,9
-6.373112,39.460186,1
-6.372779,39.460332,2
-6.372862,39.460285,4
-6.372924,39.46025,6
-6.373006,39.460208,8
-6.37851,39.471042,1
-6.378839,39.471189,3
-6.378631,39.471171,4
-6.378826,39.471259,6
-6.379078,39.471374,8
-6.371609,39.4597,1
-6.37293,39.45942,1
-6.373003,39.459428,12
-6.373066,39.459433,14
-6.37312,39.459437,16
-6.373191,39.459446,18
-6.372428,39.459392,2
-6.373558,39.459376,21
-6.374036,39.459423,25
-6.374125,39.459431,27
-6.374051,39.459529,28
-6.374424,39.45946,29
-6.372066,39.459453,3
-6.374389,39.459558,3
-6.372461,39.459226,5
-6.37279,39.459169,7
-6.372752,39.459401,8
-6.373035,39.47035,1
-6.3734,39.469949,1
-6.373368,39.469616,11
-6.373483,39.469767,12
-6.373042,39.470747,2
